expression,weight,level
0+2,5,1
0+3,5,1
0+4,5,1
0+5,5,1
0+6,5,1
0+7,5,1
0+8,5,1
0+9,5,1
0+10,5,1
1+0,5,1
1+1,5,1
1+2,5,1
1+3,5,1
1+4,5,1
1+5,5,1
1+6,5,1
1+7,5,1
1+8,5,1
1+9,5,1
2+0,5,1
2+1,5,1
2+2,5,1
2+3,5,1
2+4,5,1
2+5,5,1
2+6,5,1
2+7,5,1
2+8,5,1
3+0,5,1
3+1,5,1
3+2,5,1
3+3,5,1
3+4,5,1
3+5,5,1
3+6,5,1
3+7,5,1
4+0,5,1
4+1,5,1
4+2,5,1
4+3,5,1
4+4,5,1
4+5,5,1
4+6,5,1
5+0,5,1
5+1,5,1
5+2,5,1
5+3,5,1
5+4,5,1
5+5,5,1
6+0,5,1
6+1,5,1
6+2,5,1
6+3,5,1
6+4,5,1
7+0,5,1
7+1,5,1
7+2,5,1
7+3,5,1
8+0,5,1
8+1,5,1
8+2,5,1
9+0,5,1
9+1,5,1
10+0,5,1
0-0,5,2
1-0,5,2
