expression,weight,level
2-1,1,2
4-0,1,2
4-1,1,2
5-1,1,2
5-5,1,2
6-2,4,2
6-3,1,2
6-5,1,2
7-2,2,2
7-3,1,2
7-4,2,2
7-5,2,2
7-6,2,2
7-7,1,2
8-0,1,2
8-1,2,2
8-3,1,2
8-4,2,2
8-5,2,2
8-6,1,2
8-7,2,2
8-8,1,2
9-0,1,2
9-1,2,2
9-3,2,2
9-4,1,2
9-5,1,2
9-6,5,2
9-7,1,2
9-8,2,2
9-9,1,2
10-0,1,2
10-1,2,2
10-2,2,2
10-3,2,2
10-4,2,2
10-5,1,2
10-6,2,2
10-7,2,2
10-8,3,2
10-9,4,2
10-10,3,2
1+10,5,3
1+11,5,3
1+12,5,3
1+13,5,3
1+14,5,3
1+15,5,3
1+16,5,3
1+17,5,3
1+18,5,3
1+19,5,3
2+9,5,3
2+10,5,3
2+11,5,3
2+12,5,3
2+13,5,3
2+14,5,3
