expression,weight,level
8-3,1,2
8-4,1,2
8-6,1,2
8-7,1,2
8-8,1,2
9-0,1,2
9-1,1,2
9-2,6,2
9-5,1,2
9-6,1,2
9-9,1,2
10-0,1,2
10-3,1,2
10-4,1,2
10-5,1,2
10-6,1,2
10-7,1,2
10-8,1,2
10-9,1,2
1+11,1,3
1+13,4,3
1+14,3,3
1+15,4,3
1+16,4,3
1+17,2,3
1+18,3,3
1+19,4,3
2+9,3,3
2+10,4,3
2+11,4,3
2+12,3,3
2+13,4,3
2+14,5,3
2+15,5,3
2+16,5,3
2+17,5,3
2+18,5,3
3+8,5,3
3+9,5,3
3+10,5,3
3+11,5,3
3+12,5,3
3+13,5,3
3+14,5,3
3+15,5,3
3+16,5,3
3+17,5,3
4+7,5,3
4+8,5,3
4+9,5,3
4+10,5,3
4+11,5,3
4+12,5,3
4+13,9,3
4+14,5,3
4+15,5,3
4+16,5,3
5+6,4,3
5+7,4,3
5+8,5,3
5+9,5,3
5+10,5,3
5+11,5,3
5+12,5,3
5+13,5,3
