expression,weight,level
1+11,1,3
1+12,2,3
1+13,2,3
1+14,2,3
1+15,3,3
1+16,3,3
1+17,1,3
1+18,3,3
1+19,3,3
2+8,3,3
2+9,1,3
2+10,3,3
2+11,3,3
2+12,2.3,1
2+13,3,3
2+14,1,3
2+15,3,3
2+16,3,3
2+17,3,3
2+18,1,3
3+8,3,3
3+9,3,3
3+10,3,3
2+12,4,3
3+11,4,3
3+12,4,3
3+13,4,3
3+14,4,3
3+15,4,3
3+16,4,3
3+17,4,3
4+7,4,3
4+8,4,3
4+9,4,3
4+10,4,3
4+11,4,3
4+12,4,3
4+13,4,3
4+14,4,3
4+15,4,3
4+16,4,3
5+6,4,3
5+7,4,3
5+8,4,3
5+9,3,3
5+10,4,3
5+11,4,3
5+12,4,3
5+13,4,3
5+14,4,3
5+15,5,3
6+5,5,3
6+6,5,3
6+7,5,3
6+8,5,3
6+9,5,3
6+10,5,3
6+11,5,3
6+12,5,3
6+13,5,3
6+14,5,3
7+4,5,3
7+5,5,3
7+6,5,3
