expression,weight,level
0-0,2,2
1-0,2,2
1-1,2,2
2-0,2,2
2-1,2,2
2-2,2,2
3-0,1,2
3-1,2,2
3-2,1,2
3-3,2,2
4-0,2,2
4-1,2,2
4-2,2,2
4-3,2,2
4-4,2,2
5-0,2,2
5-1,1,2
5-2,2,2
5-3,2,2
5-4,2,2
5-5,2,2
6-0,1,2
6-1,2,2
6-2,2,2
6-3,2,2
6-4,2,2
6-5,2,2
6-6,2,2
7-0,1,2
7-1,2,2
7-2,2,2
7-3,2,2
7-5,2,2
7-6,2,2
7-7,1,2
8-0,2,2
8-1,2,2
8-2,2,2
8-3,2,2
8-4,2,2
8-5,2,2
8-6,2,2
8-7,1,2
8-8,2,2
9-0,2,2
9-1,2,2
9-2,2,2
9-3,2,2
9-4,2,2
9-5,2,2
9-6,2,2
9-7,2,2
9-8,2,2
9-9,2,2
10-0,2,2
10-1,2,2
10-2,2,2
10-3,2,2
10-4,1,2
10-5,2,2
10-6,2,2
10-7,2,2
10-8,2,2
10-9,2,2
10-10,1,2
1+10,5,3
