expression,weight,level
2+5,1,1
0-0,4,2
1-0,4,2
1-1,4,2
2-0,4,2
2-1,4,2
2-2,4,2
3-0,4,2
3-1,4,2
3-2,4,2
3-3,4,2
4-0,4,2
4-1,4,2
4-2,4,2
4-3,4,2
4-4,4,2
5-0,4,2
5-1,4,2
5-2,4,2
5-3,4,2
5-4,4,2
5-5,4,2
6-0,4,2
6-1,4,2
6-2,4,2
6-3,4,2
6-4,4,2
6-5,4,2
6-6,4,2
7-0,4,2
7-1,3,2
7-2,4,2
7-3,4,2
7-4,4,2
7-5,4,2
7-6,4,2
7-7,4,2
8-0,4,2
8-1,4,2
8-2,4,2
8-3,4,2
8-4,4,2
8-5,4,2
8-6,4,2
8-7,4,2
8-8,4,2
9-0,4,2
9-1,4,2
9-2,4,2
9-3,4,2
9-4,4,2
9-5,3,2
9-6,4,2
9-7,4,2
9-8,3,2
9-9,4,2
10-0,4,2
10-1,3,2
10-2,4,2
10-3,4,2
10-4,5,2
10-5,4,2
10-6,4,2
10-7,4,2
10-8,4,2
10-9,4,2
10-10,4,2
